sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,Vth,Ion,ON_OFF_Ratio,SS
0.16,0.26,0.055,1,1,5.166654906,0.028131181,70965296283,162.1248789
0.16,0.26,0.055,0,0,3.000363188,0.041589393,76018023451,108.3939903
0.16,0.26,0.055,0,1,3.479578598,0.036745707,75777633433,132.640852
0.16,0.26,0.057,1,0,3.137866491,0.037131803,79252621909,136.117934
0.16,0.26,0.057,1,1,3.772758683,0.03417957,84410744676,151.8201422
0.16,0.26,0.057,0,0,2.008437337,0.047990943,84740352252,103.5884676
0.16,0.26,0.057,0,1,2.412970691,0.043440007,79639789150,129.7552652
0.16,0.26,0.05,1,0,7.489066741,0.02142415,36788321952,171.1503972
0.16,0.26,0.05,1,1,8.698097562,0.019947705,32070409141,164.6872375
0.16,0.26,0.05,0,0,5.493016332,0.032542553,1.02807E+11,108.2368207
0.16,0.26,0.05,0,1,6.210298779,0.026727914,37187997048,140.4021512
0.16,0.28,0.055,1,0,4.799268925,0.029501334,76550932334,162.889013
0.16,0.28,0.055,1,1,5.611440191,0.026862495,67256482481,143.2697923
0.16,0.28,0.055,0,0,3.463363377,0.040384247,82649163150,119.9741561
0.16,0.28,0.055,0,1,3.882141969,0.036274364,83053883485,148.9769003
0.16,0.28,0.057,1,0,3.4704111,0.036341176,78098593713,142.5799455
0.16,0.28,0.057,1,1,4.148400727,0.032648088,80042242544,145.8289232
0.16,0.28,0.057,0,0,2.398710048,0.046751941,82722845975,116.217745
0.16,0.28,0.057,0,1,2.746688315,0.042910782,78705790730,135.3939834
0.16,0.28,0.05,1,0,8.092786676,0.020742255,29274574072,178.3594178
0.16,0.28,0.05,1,1,9.337048228,0.018905405,30092267501,178.5325069
0.16,0.28,0.05,0,0,6.160432379,0.031216129,34476104018,132.9761015
0.16,0.28,0.05,0,1,6.758385709,0.026749184,31564182553,153.1136713
0.16,0.3,0.055,1,0,5.242504275,0.028205857,74860649350,145.4316141
0.16,0.3,0.055,1,1,6.065270237,0.025450101,45679897304,154.7944172
0.16,0.3,0.055,0,0,3.849247171,0.040074077,93074643371,107.866947
0.16,0.3,0.055,0,1,4.318958877,0.035133055,83432649135,147.4263486
0.16,0.3,0.057,1,0,3.832031978,0.034995233,77405137516,144.5577613
0.16,0.3,0.057,1,1,4.503207331,0.031382931,76333116707,140.0459695
0.16,0.3,0.057,0,0,2.711884793,0.046567102,82183916388,122.9978856
0.16,0.3,0.057,0,1,3.108588106,0.041724374,77465848836,137.256685
0.16,0.3,0.05,1,0,8.6825069,0.020097109,28138124117,162.63782
0.16,0.3,0.05,1,1,9.831984807,0.018988263,29880568530,167.9985065
0.16,0.3,0.05,0,0,6.671774215,0.031476292,34281028991,132.5077027
0.16,0.3,0.05,0,1,7.360160918,0.026013482,30476835276,180.9795588
0.16,0.08,0.055,1,0,0.419682656,0.034616032,1.06265E+11,128.8175446
0.16,0.08,0.055,1,1,1.221485866,0.034035186,1.17951E+11,142.200507
0.16,0.08,0.055,0,0,-0.899917964,0.033570218,81963092479,121.4722059
0.16,0.08,0.055,0,1,-0.442793507,0.036093772,96942494942,133.0771733
