Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
3.897391128523953e-13,4.4262858412928434e-13,3.6327479242625918e-12,4.62289970947656e-13,1.5534927969805873e-12,2.755478070656227e-13,3.987088050563554e-13
3.8596845256894923e-13,3.9301980516149313e-13,2.5126944462518186e-13,4.327936861716079e-13,4.35818566970575e-13,3.261340259094415e-12,5.067951161693477e-13
2.8020407488475056e-13,5.351193287931481e-13,2.379871119915102e-12,3.862099008501425e-13,3.456880207356025e-13,3.733610917777895e-13,2.9609784039077433e-13
4.481193542902224e-13,3.969329330989324e-13,6.03012420025605e-13,4.667452799565426e-13,4.020908244774078e-13,4.136499118758562e-13,3.339324954990424e-13
3.940399711047383e-13,3.969616958141762e-13,3.966119234804448e-12,4.431673076454326e-13,4.999745422974755e-13,3.281163184238124e-12,3.036967019190771e-13
3.7714516229331e-13,5.498474324471186e-13,4.897740797695773e-13,4.658062007807674e-13,3.6912274952998013e-13,3.59910817099616e-13,4.382321192300042e-13
3.7932638569374854e-13,5.505023348769033e-13,2.6052222699455906e-12,4.690256681746774e-13,5.358024087978747e-13,4.2237150746774553e-13,4.504237517114752e-13
4.863088759003745e-13,2.5798797315063053e-13,6.408734506029158e-13,4.681586472326058e-13,5.421962436108492e-13,3.5212735913412053e-13,3.0752122641774005e-13
4.419366865473917e-13,3.468202221402083e-13,4.215630860902292e-12,4.37953148311901e-13,5.465567988757525e-13,3.4238698145185218e-12,4.623218907784866e-13
5.190827163132163e-13,3.9002754539871253e-13,3.579894043717005e-13,4.997182706033637e-13,1.3387463887313725e-12,3.416206644174581e-13,4.810418518595124e-13
4.938136819483107e-13,3.351157801228727e-12,5.091708992466564e-13,4.985882963234848e-13,2.523036875910847e-13,4.393220783424941e-13,3.4049173150034314e-13
4.019128681884986e-13,3.071527226536897e-12,4.200669797521437e-13,3.3998272855994614e-13,5.023783183233676e-13,3.444905717191568e-12,5.027632409906167e-13
4.5164955340890934e-13,2.7531001317053043e-13,3.4966795292674996e-12,4.324830471295325e-13,3.5702294395605573e-13,4.2431467382834724e-13,2.6732522504294453e-13
4.3076864515480023e-13,3.143416034649932e-12,6.544603829214253e-13,4.072011529021724e-13,3.264856986529873e-13,4.418543699436622e-13,3.293247737719492e-13
5.520251564094726e-13,2.7753479873515433e-13,4.0916761318209786e-12,3.5180318621079963e-13,3.228954655869788e-12,3.484016770878508e-12,3.181615662211521e-12
4.018182965296862e-13,3.5866769635085573e-13,8.853687683161765e-13,4.3396697871204897e-13,3.2723989683896e-13,2.8023046212571008e-12,4.065572396428936e-13
3.264941806989591e-13,4.4397286394167954e-13,6.18267421613575e-13,4.163344184893718e-13,2.9949542188332065e-13,2.8558204309673255e-13,5.116612600154578e-13
